Official Name of Satellite,Country/Organization of UN Registry,Longitude,Latitude,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Launch Year
Sentinel 3A,France,2.213749,46.227638,EUMETSAT,ESA,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,802,804,0.000139,98.6,100.9,2300,2146,120,7,Thales Alenia Space,France,Plesetsk Cosmodrome,Rokot,2016-011A,41335,2016
DLR Tubsat,Germany,-95.712891,37.09024,Deutsches Zentrum für Luft- und Raumfahrt,Germany,Government,Earth Science,Optical Imaging,LEO,Sun-Synchronous,0,712,732,0.00141,98.6,99.2,45,2364,120,1 yr.,"Institute of Aeronautics and Astronautics, Technical University of Berlin",Germany,Satish Dhawan Space Centre,PSLV C2,1999-029B,25757,1999
Sentinel 2A,Germany,10.451526,51.165691,EUMETSAT,ESA,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,787,788,6.99E-05,98.5,100.62,2300,2146,120,7,Airbus Defense and Space,France/UK/Germany,Guiana Space Center,Vega,2015-028A,40697,2015
Astrosat,India,-95.712891,37.09024,Telemetry Tracking and Command Network (ISTRAC) Centre,India,Government,Space Science,Electronic Intelligence,LEO,Equatorial,0,632,649,0.00121,5.99,97.54,230,750,10000,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C-30,2015-052A,40930,2015
CartoSat 1,India,-95.712891,37.09024,Indian Space Research Organization (ISRO),India,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,618,619,7.15E-05,97.9,97.1,1560,1450,1100,6,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C6,2005-017A,28649,2005
CartoSat 2,India,-95.712891,37.09024,Indian Space Research Organization (ISRO),India,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,632,635,0.000214,97,97.4,680,1450,1100,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C7,2007-001B,29710,2007
CartoSat 2B,India,-95.712891,37.09024,Indian Space Research Organization (ISRO),India,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,622,645,0.00164,97.9,97.4,694,1450,1100,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV,2010-035A,36795,2010
GSAT-12,India,-95.712891,37.09024,Indian Space Research Organization (ISRO),India,Government,Communications,Earth Science,GEO,Elliptical,82.94,35761,35811,0.000593,0.09,1436.1,1410,559,1430,8,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV C17,2011-034A,37746,2011
GSAT-14,India,-95.712891,37.09024,Indian Space Research Organization (ISRO),India,Government,Communications,Earth Science,GEO,Elliptical,74,35763,35810,0.000557,0.23,1436.1,1982,559,1430,12,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,GSLV,2014-001A,39498,2014
GSAT-15,India,-95.712891,37.09024,Indian Space Research Organization (ISRO),India,Government,Communications,Earth Science,GEO,Elliptical,93.5,35782,35805,0.000273,0.1,1436.1,3164,559,1430,12,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2015-065A,41028,2015
GSAT-16,India,-3.435973,55.378052,Indian Space Research Organization (ISRO),India,Government,Communications,Earth Science,GEO,Elliptical,55,35776,35798,0.000261,0.18,1436.1,3181,559,1430,15,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5 ECA,2014-078A,40332,2014
GSAT-2,India,-95.712891,37.09024,Indian Space Research Organization (ISRO),India,Government,Communications/Technology Development,Earth Science,GEO,Elliptical,48.04,35776,35796,0.000237,0.04,1436.07,1825,559,1430,03-May,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,GSLV D2,2003-018A,27807,2003
GSAT-8,India,-95.712891,37.09024,Indian Space Research Organization (ISRO),India,Government,Communications/Navigation,Earth Science,GEO,Elliptical,55,35782,35796,0.000166,0.09,1436.23,3093,1426,6250,12,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2011-022A,37605,2011
INSAT 3A,India,53.847816,23.424076,Indian Space Research Organization (ISRO),India,Government,Earth Observation,Meteorology,GEO,Molniya,93.53,35780,35793,0.000154,0,1436.1,2950,1348,3100,12,ISRO Satellite Center,India,Guiana Space Center,Ariane 5,2003-013A,27714,2003
INSAT 3C,India,78.962883,20.593683,Indian Space Research Organization (ISRO),India,Government,Communications,Meteorology,GEO,Molniya,74.08,35764,35809,0.000534,0.04,1436.1,2750,1050,3200,12,ISRO Satellite Center,India,Guiana Space Center,Ariane 4,2002-002A,27298,2002
INSAT 4A,India,78.962883,20.593683,Indian Space Research Organization (ISRO),India,Government,Communications,Meteorology,GEO,Molniya,83.08,35777,35796,0.000225,0.03,1436.1,3100,1050,5500,12,ISRO Satellite Center,India,Guiana Space Center,Ariane 5G,2005-049A,28911,2005
INSAT 4CR,India,78.962883,20.593683,Indian Space Research Organization (ISRO),India,Government,Communications,Meteorology,GEO,Molniya,73.97,37782,37791,0.000102,0.03,1436.11,2130,1050,3000,12,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,GSLV F04,2007-037A,32050,2007
IRNSS-1A,India,78.962883,20.593683,Indian Space Research Organization (ISRO),India,Government,Navigation/Regional Positioning,Optical Imaging,GEO,Sun-Synchronous,55,35712,35872,0.0019,27.1,1436,1425,614,1660,12,ISRO Satellite Center,India,Satish Dhawan Space Center,PSLV,2013-034A,39199,2013
IRNSS-1B,India,78.962883,20.593683,Indian Space Research Organization (ISRO),India,Government,Navigation/Regional Positioning,Optical Imaging,GEO,Sun-Synchronous,55,35695,35880,0.00219,30.97,1436.14,1432,615,1660,12,ISRO Satellite Center,India,Satish Dhawan Space Center,PSLV,2014-017A,39635,2014
IRNSS-1C,India,78.962883,20.593683,Indian Space Research Organization (ISRO),India,Government,Navigation/Regional Positioning,Optical Imaging,GEO,Sun-Synchronous,83,35690,35871,0.00215,4.96,1435.8,1425,598,1660,12,ISRO Satellite Center,India,Satish Dhawan Space Center,PSLV-XL,2014-061A,40269,2014
IRNSS-1D,India,78.962883,20.593683,Indian Space Research Organization (ISRO),India,Government,Navigation/Regional Positioning,Optical Imaging,GEO,Sun-Synchronous,111.7,35699,35834,0.0016,30.04,1435.06,1425,598,1600,12,ISRO Satellite Center,India,Satish Dhawan Space Center,PSLV-C27,2015-018A,40547,2015
IRNSS-1E,India,78.962883,20.593683,Indian Space Research Organization (ISRO),India,Government,Navigation/Regional Positioning,Optical Imaging,GEO,Sun-Synchronous,111.7,35695,35874,0.00212,28.09,1436.01,1425,598,1600,12,ISRO Satellite Center,India,Satish Dhawan Space Center,PSLV-XL,2016-003A,41241,2016
IRNSS-1F,India,78.962883,20.593683,Indian Space Research Organization (IRSO),India,Government,Navigation/Regional Positioning,Optical Imaging,GEO,Sun-Synchronous,32.5,35700,35874,0.00206,5.09,1436.13,1425,598,1600,12,IRSO Satellite Center,India,Satish Dhawan Space Center,PSLV-XL,2016-015A,41384,2016
IRNSS-1G,India,78.962883,20.593683,Indian Space Research Organization (IRSO),India,Government,Navigation/Regional Positioning,Optical Imaging,GEO,Sun-Synchronous,129.5,35774,35797,0.000273,5.06,1436.05,1425,598,1600,12,IRSO Satellite Center,India,Satish Dhawan Space Center,PSLV,2016-027A,41469,2016
IRS-P6,India,78.962883,20.593683,Indian Space Research Organization (ISRO),India,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,817,823,0.000417,98.8,101.3,1360,598,1200,5,ISRO Satellite Center,India,Satish Dhawan Space Center,PSLV C5,2003-046A,28051,2003
Kalpana-1,India,78.962883,20.593683,Indian Space Research Organization (ISRO),India,Government,Earth Observation,Meteorology,GEO,Non-Polar Inclined,74.07,35783,35789,7.12E-05,0.04,1436.08,1060,500,550,05-Jul,ISRO Satellite Center,India,Satish Dhawan Space Center,Polar Satellite Launch Vehicle (PSLV),2002-043A,27525,2002
Megha-Tropiques,India,78.962883,20.593683,Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES),India/France,Government,Earth Observation,Automatic Identification System (AIS),LEO,Non-Polar Inclined,0,853,868,0.00104,20,102.2,1000,3220,16000,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV,2011-058A,37838,2011
Oceansat-2,India,78.962883,20.593683,Indian Space Research Organization (ISRO),India,Government,Earth Observation,Infrared Imaging,LEO,Sun-Synchronous,0,722,724,0.000141,98.3,99.2,960,800,1360,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV,2009-051A,35931,2009
Resourcesat 2,India,78.962883,20.593683,Indian Space Research Organization (ISRO)/exactEarth,India/Canada,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,817,823,0.000417,98.7,101.3,1206,55,86,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV C16,2011-015A,37387,2011
SARAL,India,78.962883,20.593683,Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES),India/France,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,782,785,0.00021,98.5,100.53,407,478,906,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV,2013-009A,39086,2013
LAPAN A2,Indonesia,113.921326,-0.789275,Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Indonesia,Government,Earth Observation,Earth Science,LEO,Equatorial,0,631,650,0.00136,6,97.53,68,1512,32,5,Indonesian National Institute of Aeronautics and Space,Indonesia,Satish Dhawan Space Center,PSLV C-30,2015-052B,40931,2015
LAPAN A3,Indonesia,113.921326,-0.789275,Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Indonesia,Government,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,501,517,0.00116,97.5,94.8,115,1512,37,5,Indonesian National Institute of Aeronautics and Space,Indonesia,Satish Dhawan Space Center,PSLV XL,2016-040E,41603,2016
LAPAN-Tubsat,Indonesia,113.921326,-0.789275,Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Indonesia,Government,Earth Observation/Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,617,637,0.00143,97.7,97.2,60,1512,14,5,Technical University of Berlin,Germany,Satish Dhawan Space Center,PSLV C7,2007-001A,29709,2007
Sinah-1,Iran,53.688046,32.42791,Iranian Research Organization for Science and Technology (IROST),Iran,Government,Communications,Earth Science,LEO,Sun-Synchronous,0,681,703,0.00156,97.9,98.6,170,543,7700,3,Polyot,Russia,Plesetsk Cosmodrome,Kosmos 3M,2005-043D,28893,2005
OPTOS,Israel,34.851612,31.046051,Spanish Space Agency,Spain,Government,Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,594,797,0.0144,97.8,98.7,3,170,340,5,Instituto Nacional de Tecnica Aerospacial (INTA),Spain,Dombarovsky Air Base,Dnepr,2013-066E,39420,2013
Daichi-2,Japan,-95.712891,37.09024,Japan Aerospace Exploration Agency (JAXA),Japan,Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,630,635,0.000357,97.88,97.36,2120,1,5200,7,Mitsubishi Electric,Japan,Tanegashima Space Center,H-2A,2014-029A,39766,2014
Data Relay Test Satellite (DRTS),Japan,-95.712891,37.09024,National Space Development Agency,Japan,Government,Technology Development,Optical Imaging,GEO,Sun-Synchronous,90.77,35775,35799,0.000285,0.02,1436.12,2650,1500,2100,7,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2002-042B,27516,2002
Geomagnetic Tail Laboratory (Geotail),Japan,-95.712891,37.09024,Institute of Space and Astronautical Science (ISAS)/NASA/ESA,Multinational,Government,Space Science,Optical Imaging,Elliptical,Deep Highly Eccentric,0,49551,191451,0.559,9.39,2474.83,980,2500,273,2,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Delta 2,1992-044A,22049,1992
GCOM-1,Japan,-95.712891,37.09024,Japan Aerospace Exploration Agency (JAXA),USA/Japan,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,701,704,0.000212,98.2,98.8,1900,2500,4.05,5,Japan Aerospace Exploration Agency (JAXA),Japan,Tanegashima Space Center,H-II2,2012-025A,38337,2012
Himawari 8,Japan,53.847816,23.424076,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Japan,Government,Earth Observation,Optical Imaging,GEO,Sun-Synchronous,140,35774,35797,0.000273,0.08,1436.06,3500,1300,2600,8,Mitsubishi Electric,Japan,Tanegashima Space Center,H-2A,2014-060A,40267,2014
Hinode,Japan,-95.712891,37.09024,Institute of Space and Aeronautical Science/NASA,Multinational,Government,Space Science,Optical Imaging,LEO,Sun-Synchronous,0,670,696,0.00184,98.1,98.4,700,530,1000,3,"Institute of Space and Aeronautical Science, University of Tokyo/NASA",Japan/USA/UK/Germany,Uchinoura Space Center,JAXA M-V,2006-041A,29479,2006
Hisaki,Japan,-95.712891,37.09024,Japan Aerospace Exploration Agency (JAXA),Japan,Government,Space Science,Optical Imaging,Elliptical,Sun-Synchronous,0,952,1155,0.0137,31,106.27,348,530,900,1 yr.,NEC Corporation,Japan,Uchinoura Space Center,Epsilon,2013-049A,39253,2013
Hodoyoshi-1,Japan,-95.712891,37.09024,University of Tokyo and NESTRA,Japan,Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,506,525,0.00138,97.48,94.93,65,2175,50,3,University of Tokyo,Japan,Dombarovsky Air Base,Dnepr,2014-070B,40299,2014
Hodoyoshi-3,Japan,-95.712891,37.09024,University of Tokyo and NESTRA,Japan,Government,Technology Development,Radar Imaging,LEO,Sun-Synchronous,0,613,666,0.00378,97.98,97.51,60,2175,50,3,University of Tokyo,Japan,Dombarovsky Air Base,Dnepr,2014-033F,40015,2014
Hodoyoshi-4,Japan,-3.435973,55.378052,University of Tokyo and NESTRA,Japan,Government,Technology Development,Radar Imaging,LEO,Sun-Synchronous,0,613,650,0.00264,97.99,97.35,60,2175,50,3,University of Tokyo,Japan,Dombarovsky Air Base,Dnepr,2014-033B,40011,2014
IGS-3A,Japan,-95.712891,37.09024,Cabinet Satellite Intelligence Center (CSIC),Japan,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,484,492,0.000583,97.3,94.37,850,1532,2400,5,Mitsubishi,Japan,Tanegashima Space Center,H2A,2006-037A,29393,2006
IGS-5A,Japan,-66.589729,6.42375,Cabinet Satellite Intelligence Center (CSIC),Japan,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,484,492,0.000583,97.31,94.37,1600,1532,2400,5,Mitsubishi/Toshiba,Japan,Tanegashima Space Center,H2A,2009-066A,36104,2009
IGS-6A,Japan,-95.712891,37.09024,Cabinet Satellite Intelligence Center (CSIC),Japan,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,588,591,0.000216,97.69,96.47,1600,1532,2400,5,Mitsubishi/Toshiba,Japan,Tanegashima Space Center,H2A,2011-050A,37813,2011
IGS-7A,Japan,-95.712891,37.09024,Cabinet Satellite Intelligence Center (CSIC),Japan,Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,512,514,0.000145,97.46,94.89,1600,1532,2400,5,Mitsubishi/Toshiba,Japan,Tanegashima Space Center,H2A,2011-075A,37954,2011
IGS-8A,Japan,-95.712891,37.09024,Cabinet Satellite Intelligence Center (CSIC),Japan,Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,509,514,0.000363,97.5,94.85,1600,1532,2400,5,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2013-002A,39061,2013
IGS-8B,Japan,-95.712891,37.09024,Cabinet Satellite Intelligence Center (CSIC),Japan,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,512,523,0.000799,97.5,94.85,1600,1532,2400,5,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2013-002B,39062,2013
IGS-9A,Japan,-95.712891,37.09024,Cabinet Satellite Intelligence Center (CSIC),Japan,Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,510,510,0,97.5,94.85,1600,1532,2400,5,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2015-004A,40381,2015
IGS-9B,Japan,-95.712891,37.09024,Cabinet Satellite Intelligence Center (CSIC),Japan,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,511,515,0.000291,97.5,95.2,1600,1532,2400,5,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2015-015A,40538,2015
ETS-8,Japan,138.25293,36.204823,National Institute of Information and Communications Technology (NICT),Japan,Government,Technology Development,Optical Imaging,GEO,Elliptical,146.06,35778,35792,0.000166,0.03,1436.04,5800,10000,5500,5,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2006-059A,29656,2006
Kizuna,Japan,138.25293,36.204823,Japan Aerospace Exploration Agency (JAXA),Japan,Government,Technology Development,Optical Imaging,GEO,Elliptical,143.05,35776,35796,0.000237,0.02,1436.1,4850,10000,5500,5,JAXA/National Institute of Information and Communications Technology (NICT),Japan,Tanegashima Space Center,H2A,2008-007A,32500,2008
MTSAT-2,Japan,138.25293,36.204823,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Japan,Government,Earth Observation,Meteorology,GEO,Sun-Synchronous,145.06,35776,35797,0.000249,0.01,1436.1,2900,1250,2700,5,Mitsubishi Electric/Boeing/Alcatel,Japan,Tanegashima Space Center,H2A,2006-004A,28937,2006
QZS-1,Japan,138.25293,36.204823,Japan Aerospace Exploration Agency (JAXA),Japan,Government,Navigation/Regional Positioning,Earth Science,GEO,Sun-Synchronous,0,32618,38950,0.0751,40,1436,4000,150,86,15,Japan Aerospace Exploration Agency (JAXA),Japan,Tanegashima Space Center,H-2A,2010-045A,37158,2010
INnovative technology Demonstration EXperiment satellite (INDEX),Japan,138.25293,36.204823,Institute of Space and Astronautical Science (ISAS)/Japan Aerospace Exploration Agency (JAXA),Japan,Government,Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,595,638,0.00308,98,97,70,1390,86,15,Institute of Space and Astronautical Science (ISAS),Japan,Baikonur Cosmodrome,Dnepr,2005-031B,28810,2005
SDS-4,Japan,138.25293,36.204823,Japan Aerospace Exploration Agency (JAXA),Japan,Government,Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,661,673,0.000853,98.2,98.1,50,48,120,2,Japan Aerospace Exploration Agency (JAXA),Japan,Tanegashima Space Center,H-2A,2012-025C,38339,2012
KazEOSat-1,Kazakhstan,66.923683,48.019573,Kazcosmos,Kazakhstan,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,751,754,0.000211,98.53,99.87,830,500,1200,7.25,Airbus Defence and Space,France,Guiana Space Center,Vega,2014-024A,39731,2014
KazEOSat-2,Kazakhstan,66.923683,48.019573,Kazcosmos,Kazakhstan,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,612,636,0.00172,97.99,97.19,185,500,55,7,Surrey Satellite Technology Ltd. (SSTL),UK,Dombarovsky Air Base,Dnepr,2014-033A,40010,2014
Maroc Tubsat,Morocco,-7.09262,31.791702,CTRS Morocco/Institut für Luft-und Raumfahrttechnik (Berlin),Morocco/Germany,Government,Technology Development,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,984,1014,0.00204,99.2,105.1,47,950,56,02-Mar,CRTS Morocco/Institut für Luft-und Raumfahrttechnik,Morocco/Germany,Baikonur Cosmodrome,Zenit,2001-056D,27004,2001
